sentence,translated,gematria_sum
ᚩᚠ-ᚦᛖ-ᛈᚱᛁᛗᛖᚢᚪᛚ-ᛈᚱᛁᛖᛋᛏᛋ-ᚪᛋᛋᚢᛗᛞ-ᛈᚩᚹᛖᚱ,OF THE PRIMEUAL PRIESTS ASSUMD POWER,1307
ᚹᚻᛖᚾ-ᛖᛏᛖᚱᚾᚪᛚᛋ-ᛋᛈᚢᚱᚾᛞ-ᛒᚪᚳᚳ-ᚻᛁᛋ-ᚱᛖᛚᛁᚷᛡᚾ,WHEN ETERNALS SPURND BAKK HIS RELIGIAN,1448
ᚪᚾᛞ-ᚷᚪᚢᛖ-ᚻᛁᛗ-ᚪ-ᛈᛚᚪᚳᛖ-ᛁᚾ-ᚦᛖ-ᚾᚩᚱᚦ,AND GAUE HIM A PLAKE IN THE NORTH,1098
ᚩᛒᛋᚳᚢᚱᛖ-ᛋᚻᚪᛞᚩᚹᚣ-ᚢᚩᛁᛞ-ᛋᚩᛚᛁᛏᚪᚱᚣ,OBSKURE SHADOWY UOID SOLITARY,1170
ᛖᛏᛖᚱᚾᚪᛚᛋ-ᛁ-ᚻᛠᚱ-ᚣᚩᚢᚱ-ᚳᚪᛚᛚ-ᚷᛚᚪᛞᛚᚣ,ETERNALS I HEAR YOUR KALL GLADLY,1462
ᛞᛁᚳᛏᚪᛏᛖ-ᛋᚹᛁᚠᛏ-ᚹᛝᛖᛞ-ᚹᚩᚱᛞᛋ-ᚪᚾᛞ-ᚠᛠᚱ-ᚾᚩᛏ,DIKTATE SWIFT WINGED WORDS AND FEAR NOT,1444
ᛏᚩ-ᚢᚾᚠᚩᛚᛞ-ᚣᚩᚢᚱ-ᛞᚪᚱᚳ-ᚢᛁᛋᛡᚾᛋ-ᚩᚠ-ᛏᚩᚱᛗᛖᚾᛏ,TO UNFOLD YOUR DARK UISIANS OF TORMENT,1191
ᛚᚩ-ᚪ-ᛋᚻᚪᛞᚩᚹ-ᚩᚠ-ᚻᚩᚱᚱᚩᚱ-ᛁᛋ-ᚱᛁᛋᛖᚾ,LO A SHADOW OF HORROR IS RISEN,819
ᛁᚾ-ᛖᛏᛖᚱᚾᛁᛏᚣ-ᚢᚾᚳᚾᚩᚹᚾ-ᚢᚾᛈᚱᚩᛚᛁᚠᛁᚳ,IN ETERNITY UNKNOWN UNPROLIFIK,858
ᛋᛖᛚᚠ-ᚳᛚᚩᛋᛞ-ᚪᛚᛚ-ᚱᛖᛈᛖᛚᛚᛝ-ᚹᚻᚪᛏ-ᛞᛖᛗᚩᚾ,SELF KLOSD ALL REPELLING WHAT DEMON,1547
ᚻᚪᚦ-ᚠᚩᚱᛗᛞ-ᚦᛁᛋ-ᚪᛒᚩᛗᛁᚾᚪᛒᛚᛖ-ᚢᚩᛁᛞ,HATH FORMD THIS ABOMINABLE UOID,1118
ᚦᛁᛋ-ᛋᚩᚢᛚ-ᛋᚻᚢᛞᛞᚱᛝ-ᚢᚪᚳᚢᚢᛗ-ᛋᚩᛗᛖ-ᛋᚪᛁᛞ,THIS SOUL SHUDDRING UAKUUM SOME SAID,1230
ᛁᛏ-ᛁᛋ-ᚢᚱᛁᛋᛖᚾ-ᛒᚢᛏ-ᚢᚾᚳᚾᚩᚹᚾ-ᚪᛒᛋᛏᚱᚪᚳᛏᛖᛞ,IT IS URISEN BUT UNKNOWN ABSTRAKTED,1226
ᛒᚱᚩᚩᛞᛝ-ᛋᛖᚳᚱᛖᛏ-ᚦᛖ-ᛞᚪᚱᚳ-ᛈᚩᚹᛖᚱ-ᚻᛁᛞ,BROODING SEKRET THE DARK POWER HID,1096
ᛏᛁᛗᛖᛋ-ᚩᚾ-ᛏᛁᛗᛖᛋ-ᚻᛖ-ᛞᛁᚢᛁᛞᛖᛞ-ᚪᚾᛞ-ᛗᛠᛋᚢᚱᛞ,TIMES ON TIMES HE DIUIDED AND MEASURD,1638
ᛋᛈᚪᚳᛖ-ᛒᚣ-ᛋᛈᚪᚳᛖ-ᛁᚾ-ᚻᛁᛋ-ᚾᛁᚾᛖᚠᚩᛚᛞ-ᛞᚪᚱᚳᚾᛖᛋᛋ,SPAKE BY SPAKE IN HIS NINEFOLD DARKNESS,1616
ᚢᚾᛋᛖᛖᚾ-ᚢᚾᚳᚾᚩᚹᚾ-ᚳᚻᚪᛝᛖᛋ-ᚪᛈᛈᛠᚱᛞ,UNSEEN UNKNOWN KHAINGES APPEARD,1101
ᛁᚾ-ᚻᛁᛋ-ᛞᛖᛋᚩᛚᚪᛏᛖ-ᛗᚩᚢᚾᛏᚪᛁᚾᛋ-ᚱᛁᚠᛏᛖᛞ-ᚠᚢᚱᛡᚢᛋ,IN HIS DESOLATE MOUNTAINS RIFTED FURIAUS,1496
ᛒᚣ-ᚦᛖ-ᛒᛚᚪᚳᚳ-ᚹᛁᚾᛞᛋ-ᚩᚠ-ᛈᛖᚱᛏᚢᚱᛒᚪᛏᛡᚾ,BY THE BLAKK WINDS OF PERTURBATIAN,1270
ᚠᚩᚱ-ᚻᛖ-ᛋᛏᚱᚩᚢᛖ-ᛁᚾ-ᛒᚪᛏᛏᛚᛖᛋ-ᛞᛁᚱᛖ,FOR HE STROUE IN BATTLES DIRE,1037
ᛁᚾ-ᚢᚾᛋᛖᛖᚾ-ᚳᚩᚾᚠᛚᛁᚳᛏᛡᚾᛋ-ᚹᛁᚦ-ᛋᚻᚪᛈᛖᛋ,IN UNSEEN KONFLIKTIANS WITH SHAPES,1115
ᛒᚱᛖᛞ-ᚠᚱᚩᛗ-ᚻᛁᛋ-ᚠᚩᚱᛋᚪᚳᛖᚾ-ᚹᛁᛚᛞᛖᚱᚾᛖᛋᛋ,BRED FROM HIS FORSAKEN WILDERNESS,1197
ᚩᚠ-ᛒᛠᛋᛏ-ᛒᛁᚱᛞ-ᚠᛁᛋᚻ-ᛋᛖᚱᛈᛖᚾᛏ-ᚪᚾᛞ-ᛖᛚᛖᛗᛖᚾᛏ,OF BEAST BIRD FISH SERPENT AND ELEMENT,1569
ᚳᚩᛗᛒᚢᛋᛏᛡᚾ-ᛒᛚᚪᛋᛏ-ᚢᚪᛈᚩᚢᚱ-ᚪᚾᛞ-ᚳᛚᚩᚢᛞ,KOMBUSTIAN BLAST UAPOUR AND KLOUD,1310
ᛞᚪᚱᚳ-ᚱᛖᚢᚩᛚᚢᛝ-ᛁᚾ-ᛋᛁᛚᛖᚾᛏ-ᚪᚳᛏᛁᚢᛁᛏᚣ,DARK REUOLUING IN SILENT AKTIUITY,1221
ᚢᚾᛋᛖᛖᚾ-ᛁᚾ-ᛏᚩᚱᛗᛖᚾᛏᛝ-ᛈᚪᛋᛋᛡᚾᛋ,UNSEEN IN TORMENTING PASSIANS,1125
ᚪᚾ-ᚪᚳᛏᛁᚢᛁᛏᚣ-ᚢᚾᚳᚾᚩᚹᚾ-ᚪᚾᛞ-ᚻᚩᚱᚱᛁᛒᛚᛖ,AN AKTIUITY UNKNOWN AND HORRIBLE,1150
ᚪ-ᛋᛖᛚᚠ-ᚳᚩᚾᛏᛖᛗᛈᛚᚪᛏᛝ-ᛋᚻᚪᛞᚩᚹ,A SELF KONTEMPLATING SHADOW,1177
ᛁᚾ-ᛖᚾᚩᚱᛗᚩᚢᛋ-ᛚᚪᛒᚩᚢᚱᛋ-ᚩᚳᚳᚢᛈᛁᛖᛞ,IN ENORMOUS LABOURS OKKUPIED,879
ᛒᚢᛏ-ᛖᛏᛖᚱᚾᚪᛚᛋ-ᛒᛖᚻᛖᛚᛞ-ᚻᛁᛋ-ᚢᚪᛋᛏ-ᚠᚩᚱᛖᛋᛏᛋ,BUT ETERNALS BEHELD HIS UAST FORESTS,1530
ᚪᚷᛖ-ᚩᚾ-ᚪᚷᛖᛋ-ᚻᛖ-ᛚᚪᚣ-ᚳᛚᚩᛋᛞ-ᚢᚾᚳᚾᚩᚹᚾ,AGE ON AGES HE LAY KLOSD UNKNOWN,1178
ᛒᚱᚩᚩᛞᛝ-ᛋᚻᚢᛏ-ᛁᚾ-ᚦᛖ-ᛞᛖᛖᛈ-ᚪᛚᛚ-ᚪᚢᚩᛁᛞ,BROODING SHUT IN THE DEEP ALL AUOID,1260
ᚦᛖ-ᛈᛖᛏᚱᛁᚠᛁᚳ-ᚪᛒᚩᛗᛁᚾᚪᛒᛚᛖ-ᚳᚻᚪᚩᛋ,THE PETRIFIK ABOMINABLE KHAOS,1116
ᚻᛁᛋ-ᚳᚩᛚᛞ-ᚻᚩᚱᚱᚩᚱᛋ-ᛋᛁᛚᛖᚾᛏ-ᛞᚪᚱᚳ-ᚢᚱᛁᛋᛖᚾ,HIS KOLD HORRORS SILENT DARK URISEN,1128
ᛈᚱᛖᛈᚪᚱᛞ-ᚻᛁᛋ-ᛏᛖᚾ-ᚦᚩᚢᛋᚪᚾᛞᛋ-ᚩᚠ-ᚦᚢᚾᛞᛖᚱᛋ,PREPARD HIS TEN THOUSANDS OF THUNDERS,1225
ᚱᚪᛝᛞ-ᛁᚾ-ᚷᛚᚩᚩᛗᛞ-ᚪᚱᚱᚪᚣ-ᛋᛏᚱᛖᛏᚳᚻ-ᚩᚢᛏ-ᚪᚳᚱᚩᛋᛋ,RAINGD IN GLOOMD ARRAY STRETKH OUT AKROSS,1507
ᚦᛖ-ᛞᚱᛠᛞ-ᚹᚩᚱᛚᛞ-ᚪᚾᛞ-ᚦᛖ-ᚱᚩᛚᛚᛝ-ᚩᚠ-ᚹᚻᛖᛖᛚᛋ,THE DREAD WORLD AND THE ROLLING OF WHEELS,1410
ᚪᛋ-ᚩᚠ-ᛋᚹᛖᛚᛚᛝ-ᛋᛠᛋ-ᛋᚩᚢᚾᛞ-ᛁᚾ-ᚻᛁᛋ-ᚳᛚᚩᚢᛞᛋ,AS OF SWELLING SEAS SOUND IN HIS KLOUDS,1324
ᛁᚾ-ᚻᛁᛋ-ᚻᛁᛚᛚᛋ-ᚩᚠ-ᛋᛏᚩᚱᛞ-ᛋᚾᚩᚹᛋ-ᛁᚾ-ᚻᛁᛋ-ᛗᚩᚢᚾᛏᚪᛁᚾᛋ,IN HIS HILLS OF STORD SNOWS IN HIS MOUNTAINS,1355
ᚩᚠ-ᚻᚪᛁᛚ-ᚪᚾᛞ-ᛁᚳᛖ-ᚢᚩᛁᚳᛖᛋ-ᚩᚠ-ᛏᛖᚱᚱᚩᚱ,OF HAIL AND IKE UOIKES OF TERROR,908
ᚪᚱᛖ-ᚻᛠᚱᛞ-ᛚᛁᚳᛖ-ᚦᚢᚾᛞᛖᚱᛋ-ᚩᚠ-ᚪᚢᛏᚢᛗᚾ,ARE HEARD LIKE THUNDERS OF AUTUMN,1119
