word,translated,gematria_sum
ᛠᚳᚻ,EAKH,145
ᚾᚪᚱᚱᚩᚹᛝ,NARROWING,253
ᚾᛖᛏᛋ,NETS,208
ᛈᚩᚢᚱ,POUR,64
ᛈᚪᚾᛏᛝ,PANTING,307
ᛈᚪᛁᚾᛞ,PAIND,289
ᛈᚪᛚᛖ,PALE,280
ᛈᚱᚩᛈᚻᛖᛏ,PROPHET,253
ᛈᚱᛖᛈᚪᚱᛞ,PREPARD,361
ᚢᛈᚩᚾ,UPON,82
ᚢᛈ,UP,46
ᛈᛖᚱᛡᛞᛋ,PERIADS,370
ᛈᛖᛏᚱᛁᚠᚣ,PETRIFY,316
ᚾᚩᛋᛏᚱᛁᛚᛋ,NOSTRILS,316
ᚢᚾᛗᛠᛋᚢᚱᚪᛒᛚᛖ,UNMEASURABLE,577
ᛋᚢᛚᛚᛖᚾ,SULLEN,298
ᛋᚩᚢᚾᛞ,SOUND,181
ᛋᚩᚢᛚ,SOUL,136
ᛋᚩᛚᛁᛞ,SOLID,253
ᛋᚻᚢᛞᛞᛖᚱᛞ,SHUDDERD,424
ᛋᛁᛉᚦ,SIXTH,136
ᛋᛈᛁᚱᛝ,SPIRING,217
ᚢᚪᚳᚢᚢᛗ,UAKUUM,190
ᚢᚩᛚᚢᛏᛡᚾᛋ,UOLUTIANS,334
ᛋᛏᚪᚾᛞᛝ,STANDING,406
ᛋᛏᛁᛚᛚ,STILL,289
ᛏᚩᛈ,TOP,109
ᚪᛈᚪᚱᛏ,APART,307
ᚾᚩᚹ,NOW,55
ᚻᛠᛚᛖᛞ,HEALED,361
ᚻᛠᚢᚾᛋ,HEAUNS,217
ᚪᚹᚪᚣ,AWAY,316
ᚱᚢᛚᛖ,RULE,154
ᚱᚩᚢᛋᛞ,ROUSD,163
ᚪᚷᛖ,AGE,181
ᚪᚷᚪᛁᚾ,AGAIN,271
ᚱᚩᛚᛚᛞ,ROLLD,253
ᚳᚩᚢᚾᛋᛖᛚᛋ,KOUNSELS,298
ᚪᚱᚩᛋᛖ,AROSE,235
ᚳᚩᚩᛚ,KOOL,100
ᚪᚢᛏᚢᛗᚾ,AUTUMN,262
ᚳᚩᚾᚠᛚᛁᚳᛏᛋ,KONFLIKTS,280
ᚳᚪᚱᛖᚠᚢᛚᛚᚣ,KAREFULLY,442
ᚳᚱᚣ,KRY,127
ᚳᛖᛖᛈ,KEEP,190
ᚳᛚᚩᛋᛞ,KLOSD,235
ᚩᚹᚾ,OWN,55
ᚷᚾᚪᛋᚻᛝ,GNASHING,298
ᚹᚩᚱᛚᛞ,WORLD,199
ᚹᚱᛁᚦᛝ,WRITHING,145
ᚹᚻᚣ,WHY,145
ᚹᚻᛁᚳᚻ,WHIKH,109
ᚹᚻᛁᛏᛖ,WHITE,199
ᚹᛁᚦ,WITH,55
ᚦᛖᚾᚳᛖ,THENKE,181
ᚻᚪᚢᛖ,HAUE,190
ᚻᛁᛚᛚᛋ,HILLS,253
ᚦᛁᚱᛞ,THIRD,136
ᛏᚹᚪᛁᚾ,TWAIN,235
ᛒᚩᚦ,BOTH,73
ᛋᚢᚱᚷᛝ,SURGING,163
ᚪᚾᚳᛁᛖᚾᛏ,ANKIENT,325
ᚠᛁᚾᛁᛋᚻᛖᛞ,FINISHED,325
ᛒᛖᚾᛠᚦ,BENEATH,271
ᛒᛖᛚᚳᚻᛝ,BELKHING,316
ᛞᚢᚷ,DUG,109
ᛚᛖᛏ,LET,199
ᛒᛚᚪᛋᛏ,BLAST,343
ᛗᚪᚣ,MAY,271
ᛖᚱᛖᚳᛏ,EREKT,217
ᛖᚷᚣᛈᛏ,EGYPT,289
ᚠᚱᚪᚷᛗᛖᚾᛏᛋ,FRAGMENTS,406
ᛒᛖᚾᛞᛝ,BENDING,325
ᚠᚱᚩᛗ,FROM,91
ᛚᛁᚾᚳᛋ,LINKS,199
ᛖᛉᛈᚪᚾᛞᛝ,EXPANDING,451
ᛖᛚᛖᛗᛖᚾᛏ,ELEMENT,433
ᚠᚩᚱᛗ,FORM,91
ᛚᚩᚳᚳᛖᛞ,LOKKED,262
ᛚᚩᚢᛞ,LOUD,172
ᚠᚪᚹᚾᛝ,FAWNING,226
ᛗᚩᚢᚾᛏᚪᛁᚾᛋ,MOUNTAINS,379
ᛗᛖᛋᚻᛖᛋ,MESHES,334
ᛗᚩᛋᛏ,MOST,190
ᛖᛉᛁᛋᛏᛖᚾᚳᛖ,EXISTENKE,433
ᛞᚪᚣ,DAY,289
ᛚᛁᛗᛒᛋ,LIMBS,289
ᛞᚱᛠᛗ,DREAM,280
ᛒᚩᚾᛖᛋ,BONES,217
ᛒᚩᛋᚩᛗ,BOSOM,199
ᚠᛁᛋᚻ,FISH,109
ᚠᚩᚢᚱᚦ,FOURTH,28
ᛒᚪᛏᛏᛚᛖᛋ,BATTLES,469
ᛒᚱᚩᚢᚷᚻᛏ,BROUGHT,181
ᚠᚢᛏᚢᚱᛁᛏᚣ,FUTURITY,271
ᛞᚱᛠᛞ,DREAD,298
ᛞᛁᚳᛏᚪᛏᛖ,DIKTATE,415
ᛒᛖᚷᚪᚾ,BEGAN,271
ᚳᚩᛚᛞ,KOLD,182
ᚷᛚᚪᛞᛚᚣ,GLADLY,452
ᛚᛁᚢᛖᛞ,LIUED,263
ᚹᚪᛁᛚᛝ,WAILING,299
ᛞᛖᚷᚱᛖᛖᛋ,DEGREES,371
ᚹᚱᛁᚦᛞ,WRITHD,155
ᛚᛁᚾᚳ,LINK,146
ᛚᛁᚠᛖ,LIFE,173
ᛞᛖᛗᚩᚾ,DEMON,263
ᚱᚢᛁᚾᚩᚢᛋ,RUINOUS,137
ᚹᛖᚱᛖ,WERE,164
ᛞᛠᚦᚠᚢᛚ,DEATHFUL,281
ᚹᛝᛖᛞ,WINGED,254
ᚪᛗᚪᛋᛞ,AMASD,407
ᚪᛒᚩᚢᛏ,ABOUT,227
ᚪᛋᛏᚩᚾᛁᛋᚻᛗᛖᚾᛏ,ASTONISHMENT,578
ᛚᚪᛁᛞ,LAID,290
ᚷᚻᚪᛋᛏᛚᚣ,GHASTLY,425
ᚷᚱᛖᛖᚾ,GREEN,191
ᚷᚱᚪᛏᛝ,GRATING,263
ᚱᛁᚢᚾ,RIUN,74
ᚱᛁᛋᛖᚾ,RISEN,191
ᚱᚪᚾ,RAN,137
ᚳᚱᚪᚳᚳᛋ,KRAKKS,200
ᚳᛁᛏᛁᛖᛋ,KITIES,254
ᚳᛖᛈᛏ,KEPT,182
ᛚᛁᛏᛏᛚᛖ,LITTLE,362
ᚳᚩᚾᚠᛚᛁᚳᛏᛡᚾᛋ,KONFLIKTIANS,416
ᛚᛁᚾᛖ,LINE,200
ᚱᚩᛚᛚ,ROLL,164
ᚳᛚᚩᛞ,KLOD,182
ᚱᚩᚩᛏᛋ,ROOTS,137
ᚳᛝ,KING,92
ᚱᛖᛚᛁᚷᛡᚾ,RELIGIAN,335
ᚳᚩᚱᛞᛋ,KORDS,173
ᚳᛠᛋᛖᛚᛖᛋᛋ,KEASELESS,488
ᛞᛁᛗ,DIM,191
ᚹᛠᚳᛖᚾᛞ,WEAKEND,326
ᛒᚣ,BY,164
ᚻᛖᚱ,HER,101
ᛒᛖᛚᛚᚩᚹᛋ,BELLOWS,353
ᛋᚢᛚᛈᚻᚢᚱᚩᚢᛋ,SULPHUROUS,272
ᛋᚩᛚᛁᛏᚪᚱᚣ,SOLITARY,434
ᛋᚹᛁᚠᛏ,SWIFT,164
ᛋᚻᚩᚩᛏᛝᛋ,SHOOTINGS,281
ᛋᚻᚪᚱᛈ,SHARP,227
ᛋᛁᚳᚳ,SIKK,110
ᛒᛖᚻᛖᛚᛞ,BEHELD,380
ᛒᛖ,BE,128
ᛒᚱᚩᚩᛞᛝ,BROODING,254
ᛋᛏᚪᛏᛖ,STATE,335
ᛋᛏᚱᚩᚢᛖ,STROUE,200
ᛋᛏᚱᚩᛝ,STROING,209
ᛋᛏᚱᛁᚢᛝ,STRIUING,236
ᛋᛖᛈᛖᚱᚪᛏᛡᚾ,SEPERATIAN,533
ᛏᚢᚱᚾᛞ,TURND,191
ᛏᛁᛗᛖᛋ,TIMES,281
ᛏᛁᛚᛚ,TILL,236
ᛏᛖᚱᚱᛁᛒᛚᛖ,TERRIBLE,380
ᛏᛖᚾ,TEN,155
ᛏᛖᛖᛗᛞ,TEEMD,353
ᛒᚢᚱᚾᛝᛋ,BURNINGS,236
ᛒᚢᛁᛚᛏ,BUILT,227
ᛋᚢᚱᚱᚩᚢᚾᛞᛖᛞ,SURROUNDED,362
ᚻᚩᚹᛚᛝᛋ,HOWLINGS,254
ᛋᚢᚠᚠᛖᚱᛞ,SUFFERD,227
ᛒᛠᛏᛝ,BEATING,308
ᚻᛖᛚᛈᛚᛖᛋᛋ,HELPLESS,452
ᚻᛠᛏ,HEAT,191
ᛗᚩᚢᚾᛏᚪᛁᚾᚩᚢᛋ,MOUNTAINOUS,389
ᚾᚢᛗᛒᚱᛝ,NUMBRING,254
ᛒᚩᚱᛖ,BORE,146
ᛗᚩᚢᚾᛏᚪᛁᚾ,MOUNTAIN,326
ᛗᚩᚢᚱᚾᛝ,MOURNING,200
ᛗᚣᚱᛡᛞᛋ,MYRIADS,434
ᛠᚱᛋ,EARS,173
ᚾᛖᚱᚢᚩᚢᛋ,NERUOUS,173
ᚾᛖᛏ,NET,155
ᛁᚾᚻᚪᛒᛁᛏᚪᚾᛏᛋ,INHABITANTS,569
ᛁᚾᛏᛖᚾᛋᛖ,INTENSE,335
ᛁᛗᛗᛖᚾᛋᛁᛏᚣ,IMMENSITY,515
ᛁᛗᛗᛖᚾᛋᛖ,IMMENSE,389
ᛖᛗᛒᚱᛡ,EMBRIA,317
ᛈᚪᛁᚾ,PAIN,200
ᛈᚪᛝᛋ,PAINGS,272
ᛈᚱᛁᛖᛋᛏᛋ,PRIESTS,317
ᛖᚣᛖᛋ,EYES,290
ᛈᛁᛏᚣ,PITY,236
ᛈᛖᚱᛋᚹᚪᛋᛡᚾ,PERSWASIAN,479
ᛈᛖᚱᛡᛞ,PERIAD,317
ᛒᛞᛁᛋᚳᛖᚱᚾᛞ,BDISKERND,443
ᚾᚩᚱ,NOR,47
ᚠᚢᚱᚣ,FURY,119
ᚾᚪᛗᛖᛞ,NAMED,353
ᚠᛁᛉᛖᛞ,FIXED,236
ᚠᛁᛖᚱᚳᛖ,FIERKE,191
ᚢᛁᛖᚹᛞ,UIEWD,209
ᚠᚪᛚᛚ,FALL,245
ᚦᛁᚱᛁᛖᛚ,THIRIEL,218
ᚦᛁᚱᛏᚣ,THIRTY,209
ᚠᛚᛖᛋᚻ,FLESH,218
ᚠᚩᚱᚷᛖᛏᚠᚢᛚᚾᛖᛋᛋ,FORGETFULNESS,443
ᚦᛖᚾ,THEN,101
ᚠᚩᚱ,FOR,20
ᚪᚠᚠᚱᛁᚷᚻᛏᛖᛞ,AFFRIGHTED,398
ᚠᛠᚱᚠᚢᛚ,FEARFUL,200
ᚢᚪᛈᚩᚢᚱ,UAPOUR,164
ᚪᚢᚩᛁᛞ,AUOID,227
ᚠᛠᛏᚢᚱᛖᛚᛖᛋᛋ,FEATURELESS,497
ᚪᚱᚩᚢᚾᛞ,AROUND,236
ᚠᛁᚱᛖᛋ,FIRES,164
ᚩᚠᚠ,OFF,11
ᚦᛝᛋ,THINGS,137
ᚢᛖᛁᚾᛋ,UEINS,183
ᛋᚻᚩᚩᛏᛝ,SHOOTING,228
ᛈᚱᚩᛞᚢᚳᛞ,PRODUKD,255
ᛋᛁᚷᚻᛏ,SIGHT,183
ᚢᛖᚾᚳᚻᛚᛖᛋᛋ,UENKHLESS,381
ᛈᚻᚪᚾᛏᚪᛋᛁᛖᛋ,PHANTASIES,552
ᛋᚻᚱᛁᛚᛚ,SHRILL,264
ᛈᛁᛚᛚᚪᚱᛋ,PILLARS,381
ᚪᚾᚾᚩᚣᛞ,ANNOYD,354
ᛋᚢᚾᛞᚱᛝ,SUNDRING,264
ᛋᚻᚱᚢᚾᚳᛖᚾ,SHRUNKEN,228
ᛋᚻᚪᛈᛖᛋ,SHAPES,336
ᚢᚾᚳᚾᚩᚹᚾ,UNKNOWN,129
ᛋᚪᛚᛏ,SALT,282
ᛋᚳᛁᛖᚾᚳᛖ,SKIENKE,273
ᛋᚻᚢᛏ,SHUT,138
ᚢᚾᚳᛚᚪᛋᛈᛝ,UNKLASPING,390
ᛄᚩᚣ,JOY,147
ᚣᚩᚢᛝ,YOUING,192
ᚷᚱᚩᚢᚾᛞ,GROUND,156
ᚷᚱᛁᚾᛞᛝᛋ,GRINDINGS,309
ᚷᛚᚩᚩᛗᛞ,GLOOMD,264
ᚹᚪᚣ,WAY,219
ᚹᚪᛏᚳᚻᛞ,WATKHD,300
ᚹᚪᛚᚳᛞ,WALKD,291
ᚹᚻᛖᚾ,WHEN,138
ᚦᛖᛋᛖ,THESE,192
ᚹᛖᛒ,WEB,147
ᚹᛟ,WOE,102
ᚻᚢᛝᚱᚣ,HUINGRY,219
ᚻᚢᛝᛖᚱ,HUINGER,183
ᚻᚩᚹᛚᛝ,HOWLING,201
ᚻᚩᛚᛁᚾᛖᛋᛋ,HOLINESS,336
ᚻᚪᚾᛞᛋ,HANDS,291
ᚻᛁᛞᛖ,HIDE,210
ᚦᚱᛖᚹ,THREW,102
ᚾᚩᚦᛝ,NOTHING,120
ᚾᚪᛗᛖ,NAME,264
ᚾᛁᚾᛖᚠᚩᛚᛞ,NINEFOLD,327
ᚦᚩᚢᛋᚪᚾᛞᛋ,THOUSANDS,336
ᛁᚳᛖ,IKE,111
ᚦᚩ,THO,12
ᛁᛋ,IS,84
ᛋᛁᛗᛁᛚᛁᛏᚢᛞᛖᛋ,SIMILITUDES,561
ᛈᚩᚱᛏᛡᚾᛋ,PORTIANS,309
ᛈᚩᚹᛖᚱ,POWER,147
ᛈᚪᛋᛋᛡᚾᛋ,PASSIANS,435
ᛋᛈᚢᚱᚾᛞ,SPURND,228
ᚢᚩᛁᚳᛖᛋ,UOIKES,174
ᛋᛈᛁᚱᛁᛏ,SPIRIT,228
ᚠᚱᚩᚹᚾᛝ,FROWNING,147
ᛖᛗᛖᚱᚷᛖ,EMERGE,300
ᛗᚢᛋᛏᛖᚱ,MUSTER,264
ᛗᚣ,MY,174
ᚠᚪᛁᚦᛚᛖᛋᛋ,FAITHLESS,381
ᛗᚩᚢᛚᛞᛖᛞ,MOULDED,399
ᛗᚩᚱᛖ,MORE,156
ᛗᚪᚾᚣ,MANY,300
ᛗᛠᛋᚢᚱᛞ,MEASURD,336
ᛚᚪᚣ,LAY,273
ᛚᚪᛋᛏ,LAST,282
ᛚᛁᚢᛖ,LIUE,174
ᛖᛏᛖᚱᚾᛁᛏᚣ,ETERNITY,426
ᛚᛁᚷᚻᛏᛝ,LIGHTING,282
ᛚᛠᚢᛝ,LEAUING,264
ᛞᚢᛗᛒᚾᛖᛋᛋ,DUMBNESS,426
ᛞᚪᚱᚳ,DARK,210
ᛞᚪᚱᚳᚾᛝ,DARKNING,318
ᚠᚩᚩᛏ,FOOT,75
ᛞᛁᚢᛁᛞᛖᛋ,DIUIDES,363
ᛞᛁᚢᛁᛞᛖᛞ,DIUIDED,399
ᛞᛁᛋᚩᚱᚷᚪᚾᛁᛋᛞ,DISORGANISD,507
ᛞᛁᛋᛗᚪᚣ,DISMAY,444
ᚠᚩᚢᚷᚻᛏ,FOUGHT,111
ᛞᛖᛋᛁᚱᛖ,DESIRE,318
ᛠᚱᚦᚢᚪᚳᛞ,EARTHUAKD,327
ᛚᛖᚠᛏ,LEFT,201
ᛋᛈᚪᚳᛖ,SPAKE,273
ᛖᚾᚩᚱᛗᛁᛏᛁᛖᛋ,ENORMITIES,426
ᛒᛠᛋᛏ,BEAST,282
ᛋᛏᚩᚱᛞ,STORD,219
ᛋᛏᚪᚱᛋ,STARS,273
ᚷᚩᛚᛞᛖᚾ,GOLDEN,282
ᛋᛏᚱᚩᚳᛖ,STROKE,210
ᛋᛏᛖᚱᚾ,STERN,219
ᛋᛖᚢᛖᚾ,SEUEN,219
ᛏᚩ,TO,66
ᛏᚱᛖᛗᛒᛚᛖᛞ,TREMBLED,498
ᛏᛁᛗᛖ,TIME,228
ᛏᛖᚱᚱᚩᚱᛋ,TERRORS,219
ᚠᛚᚪᛗᛖᛋ,FLAMES,363
ᛒᚢᚱᚾᛝ,BURNING,183
ᛖᚣᛖ,EYE,237
ᛒᚩᚢᚾᛞᛖᛞ,BOUNDED,345
ᚠᛖᛏᛏᛖᚱᛋ,FETTERS,318
ᛒᚱᚪᚾᚳᚻᛖᛋ,BRANKHES,354
ᛒᚱᚪᛋᛖᚾ,BRASEN,318
ᛒᚱᛖᛞ,BRED,228
ᛒᛁᚱᛞ,BIRD,192
ᛒᛁᚾᛞ,BIND,210
ᛒᛖᚻᛁᚾᛞ,BEHIND,300
ᚠᛁᚷᚻᛏᛝᛋ,FIGHTINGS,264
ᚠᛁᚱᛖ,FIRE,111
ᛒᛚᚩᚩᛞ,BLOOD,237
ᛒᛚᚩᚪᛏᛖᛞ,BLOATED,453
ᚠᛁᚱᛋᛏ,FIRST,156
ᚠᛖᛚᛏ,FELT,201
ᚳᛚᛁᚠᚠᛋ,KLIFFS,174
ᚪᚾᛉᛡᚢᛋ,ANXIAUS,336
ᚱᛖᛗᚩᛏᛖ,REMOTE,282
ᚪᛚᚩᚾᛖ,ALONE,273
ᚪᚹᛖ,AWE,183
ᚪᛏ,AT,156
ᚳᚻᚪᛁᚾᛋ,KHAINS,246
ᚩᛒᛋᚳᚢᚱᛞ,OBSKURD,237
ᚳᚩᚾᛏᚱᚪᚳᛏᛖᛞ,KONTRAKTED,444
ᚳᚪᚢᛖᚱᚾᛋ,KAUERNS,273
ᚳᚻᚪᛁᚾᛞ,KHAIND,282
ᚳᚱᛠᛏᛡᚾᛋ,KREATIANS,381
ᚳᚩᚾᛏᛖᛗᛈᛚᚪᛏᛝ,KONTEMPLATING,597
ᚱᛁᛒᛋ,RIBS,156
ᚳᚻᛁᛚᛞᚱᛖᚾ,KHILDREN,336
ᚪᛒᛋᛏᚱᚪᚳᛏᛖᛞ,ABSTRAKTED,606
ᚱᚪᚷᛖ,RAGE,192
ᚳᚩᚪᛋᛏᛋ,KOASTS,282
ᚳᚩᛗᛒᛁᚾᛝ,KOMBINING,291
ᚳᚢᛏ,KUT,75
ᚳᚢᚱᛋᛖ,KURSE,147
ᚳᚪᛚᛚᛞ,KALLD,345
ᛈᛖᛏᚱᛁᚠᛁᛖᛞ,PETRIFIED,400
ᚻᚢᚱᛏᛚᛝᛋ,HURTLINGS,301
ᛁᚾᚠᛖᚳᛏᛡᚾ,INFEKTIAN,337
ᛒᛖᚷᛖᛏᛏᛝ,BEGETTING,409
ᛏᚩᚱᛗᛖᚾᛏᛝ,TORMENTING,382
ᛏᚹᚩ,TWO,85
ᛒᚱᛁᚷᚻᛏ,BRIGHT,202
ᚪᚱᛖ,ARE,175
ᛒᚱᚪᛁᚾ,BRAIN,229
ᛏᛖᚱᚱᚩᚱ,TERROR,166
ᚠᛚᚪᛗᛖ,FLAME,310
ᛈᛚᚪᚳᛖᛋ,PLAKES,346
ᛒᚪᚳᚳ,BAKK,184
ᚹᛖᛁᚷᚻ,WEIGH,157
ᚠᛚᚢᚳᛏᚢᚪᛏᛡᚾ,FLUKTUATIAN,445
ᛒᚪᚦᛖᛞ,BATHED,319
ᚱᛖᚾᛏ,RENT,166
ᚳᚻᚪᛁᚾ,KHAIN,193
ᚻᚩᚩᚳᛋ,HOOKS,103
ᚳᚻᚪᚩᛋ,KHAOS,193
ᚪᚱᚱᚪᚣ,ARRAY,319
ᚻᛁᛞᛞᛖᚾ,HIDDEN,328
ᛋᚻᚪᚷᚷᚣ,SHAGGY,310
ᛋᛁᚾᛋ,SINS,166
ᚢᚱᛁᛋᛖᚾᛋ,URISENS,247
ᚻᛁᛋᛋᛝᛋ,HISSINGS,292
ᚻᛁᚷᚻ,HIGH,94
